Attacker,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,,,,,,,,,,,,,0.5,0,,,0.5,
Fire,,0.5,0.5,,2,2,,,,,,2,0.5,,0.5,,2,
Water,,2,0.5,,0.5,,,,2,,,,2,,0.5,,,
Electric,,,2,0.5,0.5,,,,0,2,,,,,0.5,,,
Grass,,0.5,2,,0.5,,,0.5,2,0.5,,0.5,2,,0.5,,0.5,
Ice,,0.5,0.5,,2,0.5,,,2,2,,,,,2,,0.5,
Fighting,2,,,,,2,,0.5,,0.5,0.5,0.5,2,0,,2,2,0.5
Poison,,,,,2,,,0.5,0.5,,,,0.5,0.5,,,0,2
Ground,,2,,2,0.5,,,2,,0,,0.5,2,,,,2,
Flying,,,,0.5,2,,2,,,,,2,0.5,,,,0.5,
Psychic,,,,,,,2,2,,,0.5,,,,,0,0.5,
Bug,,0.5,,,2,,0.5,0.5,,0.5,2,,,0.5,,2,0.5,0.5
Rock,,2,,,,2,0.5,,0.5,2,,2,,,,,0.5,
Ghost,0,,,,,,,,,,2,,,2,,0.5,,
Dragon,,,,,,,,,,,,,,,2,,0.5,0
Dark,,,,,,,0.5,,,,2,,,2,,0.5,,0.5
Steel,,0.5,0.5,0.5,,2,,,,,,,2,,,,0.5,2
Fairy,,0.5,,,,,2,0.5,,,,,,,2,2,0.5,
